Latitude,Longitude
12.979108,77.684331
12.990076,77.558227
12.994406,77.529289
13.018669,77.638813
13.074658,77.579398
12.905487,77.525908
12.879414,77.519725
12.815499,77.52195
12.971592,77.65443
12.91351,77.535331
12.968193,77.671522
12.986672,77.592841
12.81471,77.618262
12.909207,77.666656
13.091016,77.644095
12.893128,77.589002
12.852739,77.538484
12.901969,77.680381
12.92877,77.572831
12.837327,77.542558
12.925399,77.62352
12.978476,77.56454
12.816469,77.559502
12.943588,77.640981
13.016683,77.627935
13.08524,77.668977
12.837513,77.617061
12.945237,77.616468
12.885352,77.683991
13.091965,77.556137
12.927581,77.651315
12.827939,77.653751
13.056126,77.56835
12.948553,77.590229
12.986366,77.568639
13.008456,77.552316
13.013157,77.527003
13.082718,77.672903
13.072326,77.536832
12.870576,77.565829
13.087944,77.671109
13.019819,77.653167
12.94742,77.627002
12.890061,77.521407
12.916191,77.500249
12.976386,77.678424
12.955481,77.602705
12.987229,77.673165
12.806607,77.665879
12.976855,77.564725
12.955038,77.667913
12.883865,77.643472
12.972016,77.615506
12.896747,77.541167
12.850205,77.639103
13.084073,77.56253
12.887582,77.617627
12.803825,77.526228
12.999263,77.685618
12.873603,77.517612
12.966667,77.65736
12.869678,77.533419
12.985219,77.505908
13.013404,77.671514
13.067408,77.628374
12.851071,77.655093
13.056182,77.674212
12.98756,77.507487
12.911196,77.532243
12.931194,77.682078
13.051647,77.588287
12.978094,77.690409
13.091658,77.554168
12.836365,77.602207
12.862198,77.673988
12.896001,77.510111
13.018077,77.597707
12.877198,77.694254
12.93004,77.608316
12.815987,77.656597
12.994828,77.583794
12.949174,77.643464
12.866501,77.695318
12.951056,77.660698
12.826228,77.607339
13.010622,77.678157
12.849816,77.533656
12.899098,77.548898
13.08041,77.566656
12.835343,77.52649
12.817421,77.622055
12.919848,77.661316
12.867148,77.527585
12.856896,77.568996
13.080234,77.513613
13.018552,77.576165
12.96291,77.538572
12.908099,77.612213
12.96861,77.573096
13.036935,77.571928
12.996158,77.692036
13.086679,77.638631
13.083683,77.515718
12.955065,77.613964
13.01174,77.632039
12.848934,77.643801
12.800641,77.523582
13.035633,77.680281
13.061337,77.582445
12.827102,77.602609
12.906775,77.54912
12.922542,77.567599
12.944095,77.5394
13.049602,77.657074
12.915646,77.603997
12.866246,77.557248
12.857611,77.574759
12.894673,77.532481
13.035382,77.675432
13.089878,77.5041
12.820633,77.599312
13.05226,77.613384
12.853814,77.509164
12.86419,77.642011
13.094775,77.549705
12.813302,77.529995
12.864376,77.672272
12.811129,77.698729
12.930753,77.692782
12.820555,77.697051
13.03713,77.613987
13.027622,77.67636
13.018356,77.514512
13.028646,77.641842
12.969096,77.661837
13.051141,77.524305
12.938791,77.533618
12.922715,77.635679
12.921708,77.668644
12.836715,77.639573
12.824446,77.587474
12.836562,77.663831
13.03768,77.589714
12.802469,77.560355
12.823121,77.5468
13.01535,77.574302
12.921467,77.567841
13.02221,77.571493
13.014422,77.534176
12.942862,77.611891
13.091526,77.659372
12.832469,77.513913
12.853743,77.565789
13.012065,77.500266
12.860875,77.519918
12.870031,77.620879
13.074441,77.644185
13.089202,77.634951
12.930356,77.625827
12.811946,77.633176
12.871136,77.629996
13.072767,77.539939
12.912769,77.537414
12.81517,77.63828
13.074856,77.635123
12.983195,77.632012
13.099151,77.579035
12.87718,77.644582
13.031776,77.590881
12.919118,77.502695
12.847189,77.5281
13.034105,77.503614
12.895317,77.54773
12.910391,77.66089
12.878342,77.552088
12.990268,77.564466
13.030344,77.641363
13.055094,77.543987
13.025226,77.507171
12.983246,77.567747
13.090316,77.593597
12.827817,77.518719
12.839136,77.65027
12.901132,77.598738
13.048368,77.677297
13.061552,77.607132
12.839787,77.51786
13.094786,77.568887
12.977975,77.638201
12.858348,77.537727
12.914297,77.582296
12.931445,77.583569
12.978244,77.516846
13.045565,77.631349
12.940121,77.633819
12.96808,77.5955
12.877012,77.650415
12.856338,77.534653
12.838747,77.619546
12.847877,77.635476
12.843531,77.660032
13.06032,77.689545
13.042782,77.515834
13.091775,77.523159
12.948609,77.515668
13.095614,77.576696
12.852465,77.513216
12.933127,77.622134
13.050271,77.529527
12.980054,77.515021
12.95827,77.641493
13.033196,77.694055
12.994905,77.659059
12.899525,77.56366
12.802643,77.57849
12.960169,77.670949
12.943626,77.555006
13.038302,77.576896
12.857018,77.636105
13.001172,77.585963
13.094566,77.633125
13.062943,77.605033
13.021887,77.570537
12.88827,77.597806
12.997739,77.602132
13.049101,77.597787
12.968434,77.573261
12.961194,77.692169
12.986842,77.593505
12.887245,77.546913
12.909732,77.586008
12.926752,77.682761
13.035998,77.674924
13.035832,77.599722
13.08317,77.661339
12.911485,77.560285
13.096554,77.504818
13.03242,77.68635
12.975836,77.678761
12.996771,77.592613
12.945688,77.654279
12.854946,77.644473
13.036116,77.517485
12.84482,77.623506
12.907503,77.610438
12.806569,77.693674
12.925448,77.696671
12.977913,77.561451
12.81739,77.684527
13.074451,77.608828
13.023795,77.540505
12.864101,77.650623
13.016515,77.663355
13.093613,77.652401
13.05474,77.607653
12.924238,77.547871
12.839468,77.530329
13.069224,77.613369
12.869451,77.695932
13.026199,77.531221
12.912616,77.546938
13.03582,77.625682
13.026333,77.537369
13.080063,77.584611
12.927279,77.533537
13.066378,77.68469
13.002305,77.639331
13.078696,77.675847
13.061097,77.55131
13.023005,77.5144
12.817636,77.661581
12.872114,77.559652
12.865323,77.524014
12.988931,77.599827
13.067592,77.532889
12.963403,77.631261
13.084878,77.643352
12.966925,77.586425
12.962212,77.56802
12.954851,77.563264
13.076389,77.545516
12.924085,77.67073
12.932308,77.504903
12.959652,77.614457
12.992724,77.52546
12.813566,77.521087
12.988739,77.646041
13.01113,77.503306
12.8622,77.52226
12.995529,77.614074
12.925399,77.578483
12.8589,77.527788
13.037912,77.685963
12.82746,77.589672
12.95956,77.515347
12.832054,77.604902
12.84795,77.599156
12.963649,77.519375
12.814962,77.561086
12.860181,77.664269
12.822201,77.589734
12.943265,77.503238
13.082934,77.601524
12.931109,77.623714
12.981725,77.68734
12.997781,77.560156
12.800469,77.627654
12.847295,77.540229
13.060926,77.593141
13.037785,77.64792
12.953558,77.675836
13.017627,77.688234
13.086381,77.60368
12.991708,77.536358
13.01701,77.685643
12.954459,77.680766
12.832261,77.537891
13.023973,77.646571
12.997021,77.539313
12.850379,77.519474
12.845325,77.508084
12.94758,77.650387
12.897032,77.604868
12.907911,77.529208
13.091226,77.554975
12.973676,77.512184
12.900586,77.678146
12.806742,77.542764
12.996204,77.519376
12.941851,77.659266
12.837863,77.574475
12.876308,77.655231
13.099799,77.624147
12.82459,77.647053
12.813092,77.649059
12.966921,77.69244
12.906575,77.559482
12.855464,77.649931
13.040891,77.501776
12.998054,77.53965
12.929464,77.516905
13.073226,77.518217
12.875491,77.696837
12.926438,77.533632
12.822298,77.601566
12.928982,77.541468
12.881084,77.501451
13.06478,77.521117
12.978037,77.512814
12.825332,77.511128
13.021549,77.558978
12.945624,77.531241
13.074393,77.528495
12.951362,77.651133
12.882782,77.6229
13.019618,77.691384
12.805932,77.589612
12.900591,77.57302
12.947327,77.525739
12.913532,77.593227
12.874101,77.685105
12.8163,77.521184
12.895707,77.657225
12.850642,77.574701
12.904188,77.647566
13.013211,77.534638
12.893396,77.510546
12.803793,77.652207
13.003643,77.591859
12.82671,77.627922
13.030428,77.550716
12.981057,77.542044
12.93111,77.633146
12.839312,77.638363
13.021162,77.556047
12.986982,77.547003
12.823955,77.654568
13.080983,77.582497
12.890705,77.51832
13.023978,77.668119
13.099691,77.529766
12.933658,77.515017
13.015952,77.517923
12.882695,77.57498
12.957799,77.548182
12.998878,77.635829
12.830904,77.622866
12.990806,77.5296
12.969272,77.660488
12.888584,77.688869
12.950272,77.68821
13.073573,77.517304
12.968697,77.543538
12.975637,77.67798
